RIN,PRIMARY_KEY,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_ID,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
147708,20141491554,5/29/2014,ID,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",169346185: 20141491554,M,White,SUSPECT,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 400 REG I PATROL,1,3125405,10098547,,111 W ANDERSON LN SVRD EB,Austin,TX,30.344034,-97.705903
175392,20162361429,8/23/2016,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459208714: 20162361429,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 500 REG III PATROL,2,3127258,10055404,3,6306 E RIVERSIDE DR,Austin,TX,,
160727,20151421618,5/22/2015,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",314966403: 20151421618,F,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ADAM 800 REG II PATROL,15,3134231,10124161,7,12900 N IH 35 SVRD SB,Austin,TX,,
160761,20151421618,5/22/2015,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",314966403: 20151421618,F,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ADAM 300 REG II PATROL,0,3134231,10124161,7,12900 N IH 35 SVRD SB,Austin,TX,,
164721,20152240800,8/12/2015,ED,VIEWED OFFENSE,TO RESTRAIN FOR SUBJECTS SAFETY,459308152: 20152240800,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,3,3128227,10099667,4,8312 N IH 35 SVRD SB,Austin,TX,,
164722,20152240800,8/12/2015,ED,OTHER,TO RESTRAIN FOR SUBJECTS SAFETY,459308152: 20152240800,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,2,3128227,10099667,4,8312 N IH 35 SVRD SB,Austin,TX,,
164723,20152240800,8/12/2015,ED,OTHER,TO RESTRAIN FOR SUBJECTS SAFETY,459308152: 20152240800,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,3,3128227,10099667,4,8312 N IH 35 SVRD SB,Austin,TX,,
164724,20152240800,8/12/2015,ED,OTHER,TO RESTRAIN FOR SUBJECTS SAFETY,459308152: 20152240800,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,0,3128227,10099667,4,8312 N IH 35 SVRD SB,Austin,TX,,
164725,20152240800,8/12/2015,ED,OTHER,TO RESTRAIN FOR SUBJECTS SAFETY,459308152: 20152240800,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,MINOR INJURY,EDWARD 500 REG II PATROL,1,3128227,10099667,4,8312 N IH 35 SVRD SB,Austin,TX,,
149262,20141841589,7/3/2014,ID,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,459029023: 20141841589,M,Hispanic,ARRESTED,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,ACADEMY CADET TRAINING REG II,0,3130063,10093073,,7308 CAMERON RD,Austin,TX,30.328248,-97.691029
149243,20141841589,7/3/2014,ID,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,459029023: 20141841589,M,Hispanic,ARRESTED,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,2,3130063,10093073,,7308 CAMERON RD,Austin,TX,30.328248,-97.691029
175411,20162361429,8/23/2016,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459208714: 20162361429,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ACADEMY CADET TRAINING REG II,0,3127258,10055404,3,6306 E RIVERSIDE DR,Austin,TX,,
175424,20162361429,8/23/2016,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459208714: 20162361429,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,5,3127258,10055404,3,6306 E RIVERSIDE DR,Austin,TX,,
175620,20162481252,9/4/2016,ED,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,317545091: 20162481252,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,OTHER,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,EDWARD 600 EVENINGS REG II PATROL,0,3129865,10100966,4,829 PARK PLZ,Austin,TX,,
168463,20153201306,11/16/2015,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,305939291: 20153201306,F,White,,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,,BAKER 500 REG I PATROL,12,3073416,10062117,8,5829 TERRAVISTA DR,Austin,TX,,
170369,2016141413,1/14/2016,ED,DISPATCHED CALL,OTHER (DOCUMENT IN SUPPLEMENT),204157975: 2016141413,F,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-passive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 400 REG II PATROL,2,3128202,10099439,4,8300 N IH 35 SVRD SB,Austin,TX,,
171273,2016411574,2/10/2016,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",93651327: 2016411574,M,White,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-verbal resistance/aggression; expired code-empty hand active aggression; expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,MINOR INJURY,HENRY 500 REG III PATROL,4,3128644,10058413,3,1100 MONTOPOLIS DR,Austin,TX,,
146092,20141041459,4/14/2014,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,259719501: 20141041459,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,8,3127924,10056757,,6300 SANTOS ST,Austin,TX,30.228774,-97.700998
146142,20141041459,4/14/2014,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,259719501: 20141041459,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,1,3127924,10056757,,6300 SANTOS ST,Austin,TX,30.228774,-97.700998
175267,20162241340,8/11/2016,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,153218326: 20162241340,M,Hispanic,,,expired code-empty hand defensive resistance,CHEMICAL AGENT - O C SPRAY,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,6,3147540,10074718,1,FM 969 RD / DECKER LN,Austin,TX,,
171630,2016511451,2/20/2016,HE,DISPATCHED CALL,OTHER (DOCUMENT IN SUPPLEMENT),193200411: 2016511451,M,Black,,EDP/MENTALLY UNSTABLE,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,HENRY 500 REG III PATROL,8,3118490,10059905,3,1633 ROYAL CREST DR,Austin,TX,,
171704,2016511451,2/20/2016,HE,DISPATCHED CALL,OTHER (DOCUMENT IN SUPPLEMENT),193200411: 2016511451,M,Black,,EDP/MENTALLY UNSTABLE,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,HENRY 500 REG III PATROL,4,3118490,10059905,3,1633 ROYAL CREST DR,Austin,TX,,
147840,20146900366,5/29/2014,DA,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,167512011: 20146900366,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,NOT USED METRO TAC IV TEAM 1,6,3110485,10052482,,701 E BEN WHITE BLVD EB,Austin,TX,30.217322,-97.754745
166381,20152571444,9/14/2015,GE,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,262472231: 20152571444,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 2 OCD,5,3119539,10067323,3,100 BLOCK CHALMERS AVE,Austin,TX,,
177381,20163581263,12/23/2016,FR,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",135272570: 20163581263,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,0,3110568,10038067,2,4602 MAGIN MEADOW DR,Austin,TX,,
177382,20163581263,12/23/2016,FR,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",135272570: 20163581263,M,Hispanic,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,5,3110568,10038067,2,4602 MAGIN MEADOW DR,Austin,TX,,
145328,2014811078,3/22/2014,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",368443763: 2014811078,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,1,3127793,10105786,,800 BLOCK W RUNDBERG LN,Austin,TX,,
166345,20152571444,9/14/2015,GE,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,73793930: 20152571444,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 1 OCD,8,3119539,10067323,3,100 BLOCK CHALMERS AVE,Austin,TX,,
176199,20162771168,10/3/2016,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,61997637: 20162771168,M,Hispanic,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,CHARLIE 300 REG III PATROL,0,3150865,10082058,1,7000 DECKER LN,Austin,TX,,
145210,2014821240,3/23/2014,AD,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",51319905: 2014821240,M,Black,JUV-ARRESTE,,VERBAL RESISTANCE/AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 400 REG II PATROL,6,3092524,10143916,,11200 LAKELINE MALL DR,Austin,TX,,
145211,2014821240,3/23/2014,AD,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",51319905: 2014821240,M,Black,JUV-ARRESTE,,VERBAL RESISTANCE/AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 400 REG II PATROL,5,3092524,10143916,,11200 LAKELINE MALL DR,Austin,TX,,
153808,20143331313,11/29/2014,DA,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,458958523: 20143331313,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,2,3106610,10069997,,2005 LOU NEFF RD,Austin,TX,30.266395,-97.76714
153821,20143331313,11/29/2014,DA,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,458958523: 20143331313,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY; COMPLAINT OF INJURY/PAIN,MINOR INJURY,PARK 300 SPECIALIZED PATROL,14,3106610,10069997,,2005 LOU NEFF RD,Austin,TX,30.266395,-97.76714
163662,20151991525,7/18/2015,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",459274343: 20151991525,M,White,,,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 500 REG III PATROL,8,3114951,10054578,3,3111 PARKER LN,Austin,TX,,
155088,2015201511,1/20/2015,CH,TACTICAL OPERATION,"IN CUSTODY, MAINTAINING CONTROL",53739893: 2015201511,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 2 OCD,7,3133569,10075894,1,1700 BLOCK MEANDER DR,Austin,TX,,
167988,20156900670,10/28/2015,ED,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,383006349: 20156900670,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,1,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,STREET NARCOTICS TEAM 1 OCD,7,3121782,10108001,4,9027 NORTHGATE BLVD,Austin,TX,,
154104,20143481434,12/14/2014,FR,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,17310864: 20143481434,F,White,COMMITTED,EDP/MENTALLY UNSTABLE,EDGED WEAPON,CED - PRONGS-ENTER # SHOTS,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,1,3087910,10026565,,11817 HARTLEY CV,Austin,TX,30.148304,-97.829829
151060,20142401396,8/28/2014,AD,DISPATCHED CALL,OTHER (DOCUMENT IN SUPPLEMENT),459186241: 20142401396,F,Hispanic,INVOLVED,,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,1,3127904,10131452,,13601 ELM RIDGE LN,Austin,TX,30.434141,-97.695332
143831,2014461358,2/15/2014,BA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,458824762: 2014461358,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,BAKER 400 REG I PATROL,2,3114430,10077498,,2300 GUADALUPE ST,Austin,TX,30.286634,-97.741701
173825,20161231351,5/2/2016,BA,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",216138585: 20161231351,M,Hispanic,,,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,BAKER 400 REG I PATROL,1,3121345,10082705,9,1000 E 41ST ST,Austin,TX,,
173826,20161231351,5/2/2016,BA,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",216138585: 20161231351,M,Hispanic,,,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 800 REG I PATROL,1,3121345,10082705,9,1000 E 41ST ST,Austin,TX,,
160722,20151421618,5/22/2015,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",314966403: 20151421618,F,White,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ADAM 800 REG II PATROL,2,3134231,10124161,7,12900 N IH 35 SVRD SB,Austin,TX,,
164101,20152101498,7/29/2015,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,170155359: 20152101498,F,White,,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,16,3103130,10055825,5,1212 BLOCK W BEN WHITE BLVD EB,Austin,TX,,
164102,20152101498,7/29/2015,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,170155359: 20152101498,F,White,,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,3,3103130,10055825,5,1212 BLOCK W BEN WHITE BLVD EB,Austin,TX,,
146140,20141041459,4/14/2014,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,259719501: 20141041459,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,3,3127924,10056757,,6300 SANTOS ST,Austin,TX,30.228774,-97.700998
146141,20141041459,4/14/2014,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,259719508: 20141041459,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,3,3127924,10056757,,6300 SANTOS ST,Austin,TX,30.228774,-97.700998
173795,20161261471,5/5/2016,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,322898179: 20161261471,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,2,3104643,10038266,2,7707 S IH 35 SVRD NB,Austin,TX,,
146139,20141041459,4/14/2014,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,259719508: 20141041459,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,2,3127924,10056757,,6300 SANTOS ST,Austin,TX,30.228774,-97.700998
156802,2015141501,1/14/2015,HE,WARRANT SERVICE,NECESSARY TO EFFECT ARREST / DETENTION,458993582: 2015141501,M,Hispanic,,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),CANINE - BITE,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,K9 PATROL SPECIAL OPS,16,3131957,10059810,3,500 BASTROP HWY SB,Austin,TX,,
175269,20162241340,8/11/2016,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,153218326: 20162241340,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression; expired code-empty hand defensive resistance; expired code-other,IMPACT MUNITION/BEANBAG RND-ENTER # SHOTS,,,,1,MINOR INJURY; COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,1,3147540,10074718,1,FM 969 RD / DECKER LN,Austin,TX,,
142288,201471350,1/7/2014,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,322913870: 201471350,M,Black,ARRESTED,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,NOT USEDMETRO TAC I TEAM 3,5,3115952,10070759,,500 E 7TH ST,Austin,TX,30.267644,-97.737698
155090,2015201511,1/20/2015,CH,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,53739893: 2015201511,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,STREET NARCOTICS TEAM 1 OCD,6,3133569,10075894,1,1700 BLOCK MEANDER DR,Austin,TX,,
155860,2015360922,2/5/2015,ID,TACTICAL OPERATION,NECESSARY TO EFFECT ARREST / DETENTION,458894767: 2015360922,M,Black,,,EDGED WEAPON,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,SWAT SPECIAL OPERATIONS,17,3137435,10088569,1,6912 BRYN MAWR DR,Austin,TX,,
